Council,Value,Type
Environment Canterbury Regional Council,Taumatakahu Stream Murray St,Site
Environment Canterbury Regional Council,Opihi River at SH1 Bridge,Site
Environment Canterbury Regional Council,Temuka River Manse Bridge,Site
Environment Canterbury Regional Council,Raukapuka Creek Coach Road,Site
Environment Canterbury Regional Council,Waihi River Waimarie,Site
Environment Canterbury Regional Council,Te Ngawai River Tengawai Bridge,Site
Environment Canterbury Regional Council,Saltwater Creek SH1 Bridge,Site
Environment Canterbury Regional Council,Pareora River at Evans Crossing,Site
Environment Canterbury Regional Council,Boundary Drain Trigpole Road,Site
Environment Canterbury Regional Council,Petries Drain Canal Road,Site
Environment Canterbury Regional Council,Rhodes Stream Parke Road,Site
Environment Canterbury Regional Council,Waihao River Bradshaw Bridge,Site
Environment Canterbury Regional Council,Waihao River McCulloch Bridge,Site
Environment Canterbury Regional Council,Pareora River Pareora Huts,Site
Environment Canterbury Regional Council,Hae Hae Te Moana River at Glentohi,Site
Environment Canterbury Regional Council,North Branch Ohapi Creek Guild Rd,Site
Environment Canterbury Regional Council,Ohapi Creek Guild Rd,Site
Environment Canterbury Regional Council,Ohapi Creek South Branch Guild Rd,Site
Environment Canterbury Regional Council,Ohapi Creek upstream Orari River Confluence,Site
Environment Canterbury Regional Council,Waikakahi Stream Te Maiharoa Road ,Site
Environment Canterbury Regional Council,Whitneys Creek Carrolls Rd,Site
Environment Canterbury Regional Council,Buchanans Creek upstream confluence Waihao River,Site
Environment Canterbury Regional Council,Sir Charles Creek end of Haymans Road,Site
Environment Canterbury Regional Council,Hook River Beach Road,Site
Environment Canterbury Regional Council,Hook Drain Beach Road,Site
Environment Canterbury Regional Council,Coopers Creek SH72,Site
Environment Canterbury Regional Council,Taitarakihi Creek SH1,Site
Environment Canterbury Regional Council,McKinnons Stream Wallaces Bridge,Site
Environment Canterbury Regional Council,Forks Stream SH8,Site
Environment Canterbury Regional Council,Irishman Creek SH8,Site
Environment Canterbury Regional Council,Orari River Parke Rd ,Site
Environment Canterbury Regional Council,Bush Stream Rangitata Gorge Road,Site
Environment Canterbury Regional Council,Deep Stream Access Road near Tui House,Site
Environment Canterbury Regional Council,Leader River SH1,Site
Environment Canterbury Regional Council,Waipara River Teviotdale Bridg,Site
Environment Canterbury Regional Council,Ashley River SH1,Site
Environment Canterbury Regional Council,Ashley River/Rakahuri Ashley Gorge Rd,Site
Environment Canterbury Regional Council,Taranaki Creek Gressons Rd,Site
Environment Canterbury Regional Council,Waikuku Stream SH1,Site
Environment Canterbury Regional Council,Waimakariri River at Stewarts Gully Yacht Club,Site
Environment Canterbury Regional Council,Kaiapoi River Island Rd,Site
Environment Canterbury Regional Council,Cam River Bramleys Road,Site
Environment Canterbury Regional Council,Southbrook Stream Marsh Rd ,Site
Environment Canterbury Regional Council,Cust River Skewbridge Road,Site
Environment Canterbury Regional Council,Ohoka River Island Rd,Site
Environment Canterbury Regional Council,Otukaikino Creek Dickeys Rd,Site
Environment Canterbury Regional Council,Aylmers Valley Stream Beach Road bridge,Site
Environment Canterbury Regional Council,Kaituna Stream Kaituna Valley Road,Site
Environment Canterbury Regional Council,LII Stream Pannetts Rd bridge ,Site
Environment Canterbury Regional Council,Selwyn River Coes Ford,Site
Environment Canterbury Regional Council,Selwyn River Whitecliffs recorder ,Site
Environment Canterbury Regional Council,Waireka River (Waianiwaniwa R) Auchenflower Rd,Site
Environment Canterbury Regional Council,Boggy Creek Lake Road ,Site
Environment Canterbury Regional Council,Doyleston Drain Lake Rd ,Site
Environment Canterbury Regional Council,Harts Creek Lower Lake Rd,Site
Environment Canterbury Regional Council,Rakaia River SH1- north chanel,Site
Environment Canterbury Regional Council,Rakaia River Gorge,Site
Environment Canterbury Regional Council,French Farm Stream French Farm Valley Road,Site
Environment Canterbury Regional Council,Halswell River McCartneys bridge ,Site
Environment Canterbury Regional Council,Okuti River Kinloch Road Bridge,Site
Environment Canterbury Regional Council,Okana River SH75,Site
Environment Canterbury Regional Council,Conway River Inland Road ,Site
Environment Canterbury Regional Council,Kowhai River SH1,Site
Environment Canterbury Regional Council,Lyell Creek SH1 ,Site
Environment Canterbury Regional Council,Lyell Creek Mill Road ,Site
Environment Canterbury Regional Council,Okarahia stream SH1 ,Site
Environment Canterbury Regional Council,Waipara River Laidmore Rd ,Site
Environment Canterbury Regional Council,Taranaki Creek Preeces Rd ,Site
Environment Canterbury Regional Council,Warren Creek Rorrisons Road,Site
Environment Canterbury Regional Council,Pahau River Dalzell's Bridge,Site
Environment Canterbury Regional Council,Dry Stream Above Hurunui Conf. NW of Pylons ,Site
Environment Canterbury Regional Council,Lee River Bridge on Brooklands Farm ,Site
Environment Canterbury Regional Council,Waikewai Creek Gullivers Rd,Site
Environment Canterbury Regional Council,Middle Creek Beach Rd ,Site
Environment Canterbury Regional Council,Te Wharau Stream Charteris Bay Road,Site
Environment Canterbury Regional Council,Hawkins River Deans Road ,Site
Environment Canterbury Regional Council,Living Springs Stream Governors Bay-Teddington Rd,Site
Environment Canterbury Regional Council,Saltwater Creek Factory Rd ,Site
Environment Canterbury Regional Council,Waiau River Leslie Hills Road,Site
Environment Canterbury Regional Council,Waiau River at Waiau,Site
Environment Canterbury Regional Council,Waiau River SH1,Site
Environment Canterbury Regional Council,Conway River SH1 ,Site
Environment Canterbury Regional Council,Waitohi River 1.6km Upstream Hurunui Confluence,Site
Environment Canterbury Regional Council,St Leonards Drain Dalzells Farm,Site
Environment Canterbury Regional Council,Mason River SH70 ,Site
Environment Canterbury Regional Council,Zephyr Stream Above Governors Bay Rd,Site
Environment Canterbury Regional Council,North Brook Upstream side of Bridge Marsh Rd ,Site
Environment Canterbury Regional Council,Cam River Marsh Rd bridge,Site
Environment Canterbury Regional Council,Ashburton River Above mouth via north bank,Site
Environment Canterbury Regional Council,Twizel River - Lower Below Black Stilt Station,Site
Environment Canterbury Regional Council,Wainui Stream upstream from Wainui Main Rd Bridge,Site
Environment Canterbury Regional Council,Takamatua Stream Above Highway Bridge ,Site
Environment Canterbury Regional Council,Kahutara River Dairy Farm Rd,Site
Environment Canterbury Regional Council,Blue Duck Creek Above SH1,Site
Environment Canterbury Regional Council,Hapuku River SH1,Site
Environment Canterbury Regional Council,"Barrys Bay Stream, Barrys Bay Valley Rd",Site
Environment Canterbury Regional Council,Pawsons Stream Pawsons Valley Road,Site
Environment Canterbury Regional Council,Purau Stream Above Main Road Bridge,Site
Environment Canterbury Regional Council,Teddington Stream Blatchford property,Site
Environment Canterbury Regional Council,Quailburn Quailburn Road,Site
Environment Canterbury Regional Council,Clarence River over Jacks Pass,Site
Christchurch,Wairarapa Stream ,Site
Christchurch,Waimairi Stream,Site
Christchurch,Avon River at Mona Vale,Site
Christchurch,Avon River at Carlton Mill Corner ,Site
Christchurch,Riccarton Main Drain,Site
Christchurch,Addington Brook,Site
Christchurch,Avon River at Manchester Street ,Site
Christchurch,Dudley Creek,Site
Christchurch,Avon River at Dallington Terrace/Gayhurst Road,Site
Christchurch,Horseshoe Lake Discharge,Site
Christchurch,Avon River at Avondale Road Bridge,Site
Christchurch,Avon River at Pages/Seaview Bridge,Site
Christchurch,Avon River at Bridge Street ,Site
Christchurch,Heathcote River at Templetons Road ,Site
Christchurch,Haytons Stream at Retention Basin ,Site
Christchurch,Curletts Road Stream Upstream of Heathcote River,Site
Christchurch,Curletts Road Stream at Motorway ,Site
Christchurch,Heathcote River at Rose Street ,Site
Christchurch,Cashmere Stream at Sutherlands Road ,Site
Christchurch,Cashmere Stream at Worsleys Road,Site
Christchurch,Heathcote River at Ferniehurst Street,Site
Christchurch,Heathcote River at Bowenvale Avenue,Site
Christchurch,Heathcote River at Opawa Road/Clarendon Terrace ,Site
Christchurch,Heathcote River at MacKenzie Avenue ,Site
Christchurch,Heathcote River at Tunnel Road,Site
Christchurch,Heathcote River at Ferrymead Bridge,Site
Christchurch,Smacks Creek at Gardiners Road,Site
Christchurch,Styx River at Gardiners Road,Site
Christchurch,Styx River at Main North Road,Site
Christchurch,Kaputone Creek at Blakes Road,Site
Christchurch,Kaputone Creek at Belfast Road,Site
Christchurch,Styx River at Marshland Road Bridge ,Site
Christchurch,Styx River at Richards Bridge ,Site
Christchurch,Styx River at Harbour Road Bridge,Site
Christchurch,Nottingham Stream at Candys Road ,Site
Christchurch,Knights Stream at Sabys Road,Site
Christchurch,Halswell River at Akaroa Highway (Tai Tapu Road),Site
Christchurch,Otukaikino River at Groynes Inlet ,Site
Christchurch,Wilsons Stream,Site
Christchurch,Linwood Canal/City Outfall Drain,Site
Christchurch,Otukaikino Creek at Omaka Scout Camp,Site
Environment Canterbury Regional Council,Heathcote River at Catherine St,Site
Environment Canterbury Regional Council,Orari River Gorge,Site
Environment Canterbury Regional Council,Pareora River SH1,Site
Environment Canterbury Regional Council,Tekapo River Steel Bridge,Site
Environment Canterbury Regional Council,Waikakahi Stream Cock & Hen Road,Site
Environment Canterbury Regional Council,Parakanoi Drain Lower Beach Road,Site
Environment Canterbury Regional Council,Hurunui River at at SH7,Site
Environment Canterbury Regional Council,Hinds River Lower Beach Road,Site
Environment Canterbury Regional Council,Clarence River above river mouth,Site
Environment Canterbury Regional Council,Otekaieke River Special School Road,Site
Environment Canterbury Regional Council,Mandamus River Tekoa Road,Site
Environment Canterbury Regional Council,South Ashburton River Quarry Road,Site
Environment Canterbury Regional Council,Gentleman Smith Stream Hakatere-Heron Road,Site
Environment Canterbury Regional Council,Lambies Stream Ashburton Gorge Road,Site
Environment Canterbury Regional Council,Ahuriri River Ben Omar,Site
ES,Aparima River at Thornbury,Site
ES,Oreti River at Wallacetown,Site
ES,Waiau River at Sunnyside,Site
ES,Waimea Stream at Mandeville,Site
ES,Waituna Creek at Marshall Road,Site
ES,Aparima River at Dunrobin,Site
ES,Irthing Stream at Ellis Road,Site
ES,Mataura River at Gore,Site
ES,Mataura River at Parawa,Site
ES,Orauea River at Orawia Pukemaori Road,Site
ES,Oreti River at Three Kings,Site
ES,Otapiri Stream at Otapiri Gorge,Site
ES,Bog Burn d/s Hundred Line Road,Site
ES,Carran Creek at Waituna Lagoon Road,Site
ES,Cascade Stream at Pourakino Valley Road,Site
ES,Cromel Stream at Selbie Road,Site
ES,Dipton Stream at South Hillend-Dipton Rd,Site
ES,Dunsdale Stream at Dunsdale Reserve,Site
ES,Hamilton Burn at Affleck Road,Site
ES,Hedgehope Stream 20m u/s Makarewa Confl,Site
ES,Lill Burn at Lill Burn-Monowai Road,Site
ES,Longridge Stream at Sandstone,Site
ES,Makarewa River at Lora Gorge Road,Site
ES,Makarewa River at Wallacetown,Site
ES,Mararoa River at South Mavora Lake,Site
ES,Mararoa River at The Key,Site
ES,Mararoa River at Weir Road,Site
ES,Mataura River 200m d/s Mataura Bridge,Site
ES,Mataura River at Mataura Island Bridge,Site
ES,Mimihau Stream Tributary at Venlaw Forest,Site
ES,Mimihau Stream at Wyndham,Site
ES,Mokoreta River at Wyndham River Road,Site
ES,Mokotua Stream at Awarua,Site
ES,North Peak Stream at Waimea Valley Road,Site
ES,Opouriki Stream at Tweedie Road,Site
ES,Oreti River at Lumsden Bridge,Site
ES,Otamita Stream at Mandeville,Site
ES,Otautau Stream at Otautau-Tuatapere Road,Site
ES,Otautau Stream at Waikouro,Site
ES,Otepuni Creek at Nith Street,Site
ES,Oteramika Stream at Seaward Downs,Site
ES,Pourakino River at Traill Road,Site
ES,Sandstone Stream at Kingston Crossing Rd,Site
ES,Tokanui River at Fortrose Otara Road,Site
ES,Tussock Creek at Cooper Road,Site
ES,Upukerora River at Te Anau Milford Road,Site
ES,Waiau River at Tuatapere,Site
ES,Waihopai River u/s Queens Drive,Site
ES,Waikaia River at Waikaia,Site
ES,Waikaia River at Waipounamu Bridge Road,Site
ES,Waikaia River u/s Piano Flat,Site
ES,Waikaka Stream at Gore,Site
ES,Waikawa River at Progress Valley,Site
ES,Waikiwi Stream at North Road,Site
ES,Waikopikopiko Stream at Haldane CurioBay,Site
ES,Waimatuku Stream at Lorneville Riverton Hwy,Site
ES,Wairaki River ds Blackmount Road,Site
ES,Whitestone River d/s Manapouri-Hillside,Site
ES,Winton Stream at Lochiel,Site
ES,Moffat Creek at Moffat Road,Site
GDC,Hikuwai River at Willowflat,Site
GDC,Mangatu River at Omapere Station,Site
GDC,Mata at Mata Bridge Telemetry Station,Site
GDC,Te Arai River at Pykes Weir,Site
GDC,Waikohu River at Mahaki Station,Site
GDC,Waimata River at Goodwins Rd Bridge,Site
GDC,Waimata River at Monowai Bridge,Site
GDC,Waingaromia River at Terrace Station,Site
GDC,Waipaoa River at Kanakanaia,Site
GDC,Waipaoa River at Matawhero Bridge,Site
GDC,Wharekopae River at Rangimoe,Site
GDC,Karakatuwhero River at SH35 Bridge 17800001,Site
GDC,Ihungia River at Ihungia Rd Br 18326002,Site
GDC,Mangaheia River at Paroa Road Bridge,Site
GDC,Mangaoporo River at Tutamatai Bridge 18314003,Site
GDC,Waiomoko River at SH35 Bridge 19200001,Site
GDC,Wainui Stream at Pare Street,Site
GDC,Awapuni Drain Site 4 D/S Wetland Outlet at Fence Line,Site
GDC,Matawai Stream at Tawai 16521512,Site
GDC,Whakaahu Stream at Brunton Rd 19704009,Site
GDC,Taruheru River at Tuckers Rd Bridge,Site
GDC,Waingaromia River at Terrace Station 19722001,Site
GDC,Waimata River at Monowai Bridge 19600056,Site
GDC,Awatere River at SH35 Bridge,Site
GDC,Motu River at Kotare Station Bridge,Site
GDC,Turanganui River at Gladstone Rd Bridge,Site
GDC,Hamanatua Stream at Okitu Bridge,Site
GDC,Hikuwai River at No 4 Bridge,Site
GDC,Kopuawhakapata Stream at Hirini St,Site
GDC,Mangaoporo River at Tutamatai Bridge,Site
GDC,Mangatutu Str at Sh35-Waipahuru Bridge,Site
GDC,Mata River at Aorangi (Makarika Road),Site
GDC,Matawai Stream at Tawai,Site
GDC,Oweka River at SH35 Bridge,Site
GDC,Poroporo River at Rangitukia Rd Bridge,Site
GDC,Waikanae Creek at Grey St Bridge,Site
GDC,Waiomoko River at SH35 Bridge,Site
GDC,Waipaoa River at Kanakanaia Bridge,Site
GDC,Whakaahu Stream at Brunton Rd,Site
GDC,Wharekahika River U/S Of Wharf Bridge,Site
GDC,Motu River @ Matawai Conserv Area,Site
GDC,Pakarae River at Pakarae Station Bridge,Site
GDC,Motu River above Falls,Site
GDC,Waihirere Stream @ Domain,Site
GWRC,Akatarawa River at Hutt Confluence,Site
GWRC,Awhea River at Tora Rd,Site
GWRC,Beef Creek at headwaters,Site
GWRC,Horokiri Stream at Snodgrass,Site
GWRC,Huangarua River at Ponatahi Bridge,Site
GWRC,Hutt River at Birchville,Site
GWRC,Hutt River at Boulcott,Site
GWRC,Hutt River at Kaitoke,Site
GWRC,Hutt River at Maoribank Corner,Site
GWRC,Hutt River at Melling Bridge,Site
GWRC,Hutt River at Poets Park,Site
GWRC,Hutt River at Silverstream Bridge,Site
GWRC,Hutt River at Te Marua Intake Site,Site
GWRC,Hutt River Opposite Manor Park Golf Club,Site
GWRC,Kaiwharawhara Stream at Ngaio Gorge,Site
GWRC,Karori Stream at Makara Peak Mountain Bike Park,Site
GWRC,Kopuaranga River at Stuarts,Site
GWRC,Makara Stream at Kennels,Site
GWRC,Mangaone Stream at Sims Road Bridge,Site
GWRC,Mangapouri Stream at Bennetts Rd,Site
GWRC,Mangaroa River at Te Marua,Site
GWRC,Mangatarere River at State Highway 2,Site
GWRC,Motuwaireka Stream at headwaters,Site
GWRC,Ngarara Stream at Field Way,Site
GWRC,Orongorongo River at Orongorongo Station,Site
GWRC,Otaki River at Mouth,Site
GWRC,Otaki River at Pukehinau,Site
GWRC,Otaki River at State Highway One,Site
GWRC,Pakuratahi River 50m Below Farm Creek,Site
GWRC,Pakuratahi River at Hutt Forks,Site
GWRC,Parkvale Stream at Renalls Weir,Site
GWRC,Parkvale tributary at Lowes Reserve,Site
GWRC,Pauatahanui Stream at Elmwood Bridge,Site
GWRC,Porirua Stream at Glenside Overhead Cables,Site
GWRC,Porirua Stream at Milk Depot,Site
GWRC,Ruamahanga River at Double Bridges,Site
GWRC,Ruamahanga River at Gladstone Bridge,Site
GWRC,Ruamahanga River at Kokotau,Site
GWRC,Ruamahanga River at McLays,Site
GWRC,Ruamahanga River at Morrisons Bush,Site
GWRC,Ruamahanga River at Pukio,Site
GWRC,Ruamahanga River at Te Ore Ore,Site
GWRC,Ruamahanga River at The Cliffs,Site
GWRC,Ruamahanga River at Waihenga Bridge,Site
GWRC,Ruamahanga River at Wardells,Site
GWRC,Tauanui River at Whakatomotomo Rd,Site
GWRC,Taueru River at Castlehill,Site
GWRC,Taueru River at Gladstone,Site
GWRC,Tauherenikau River at Websters,Site
GWRC,Totara Stream at Stronvar,Site
GWRC,Waikanae River at Greenaway Rd,Site
GWRC,Waikanae River at Jim Cooke Park,Site
GWRC,Waikanae River at Mangaone Walkway,Site
GWRC,Waikanae River at State Highway One,Site
GWRC,Waingawa River at Kaituna,Site
GWRC,Waingawa River at South Rd,Site
GWRC,Wainuiomata River at Manuka Track,Site
GWRC,Waiohine River at Bicknells,Site
GWRC,Waiohine River at Gorge,Site
GWRC,Waiohine River at State Highway 2,Site
GWRC,Waiorongomai River at Forest Park,Site
GWRC,Waipoua River at Colombo Rd Bridge,Site
GWRC,Waitohu Stream at Forest Park,Site
GWRC,Waitohu Stream at Norfolk Crescent,Site
GWRC,Waiwhetu Stream at Whites Line East,Site
GWRC,Whakatikei River at Riverstone,Site
GWRC,Whangaehu River at 250m from Confluence,Site
GWRC,Whareama River at Gauge,Site
GWRC,Whareroa Stream at QE Park,Site
GWRC,Whareroa Stream at Waterfall Rd,Site
GWRC,Enaki Stream D/S site for Riparian,Site
GWRC,Wainuiomata River at Richard Prouse Park,Site
GWRC,Wainuiomata River Dnstr of White Bridge,Site
HBRC,Aniwaniwa Stream at Aniwaniwa,Site
HBRC,Aropaoanui River at Aropaoanui,Site
HBRC,Awanui Stream at Flume,Site
HBRC,Esk River at Berry Road,Site
HBRC,Esk River at Waipunga Bridge,Site
HBRC,Hangaroa River at Doneraille Park,Site
HBRC,Herehere Stream at Te Aute Road,Site
HBRC,Karewarewa Stream at Paki Paki,Site
HBRC,Kopuawhara Stream at Railway Bridge,Site
HBRC,Makaretu Stream at State Highway 50,Site
HBRC,Mangakuri River at Kairakau,Site
HBRC,Mangaone River at Rissington,Site
HBRC,Mangaonuku Stream at Waipawa Tikokino Rd,Site
HBRC,Mangaorapa Stream at Mangaorapa Road,Site
HBRC,Mangapoike River at Suspension Bridge,Site
HBRC,Mangatarata Stream at Mangatarata Road,Site
HBRC,Maraetotara River at Te Awanga,Site
HBRC,Maraetotara River at Waimarama Road,Site
HBRC,Mohaka River D/S Taharua,Site
HBRC,Mohaka River U/S Taharua,Site
HBRC,Mokomokonui Stream U/S Waipunga,Site
HBRC,Ngaruroro River at Fernhill,Site
HBRC,Ngaruroro River at Whanawhana,Site
HBRC,Papanui Stream at Middle Road,Site
HBRC,Porangahau River at SH52 Opposite Quarry,Site
HBRC,Porangahau Stream at Oruawhara Road,Site
HBRC,Poukawa Stream at Stock Road,Site
HBRC,Puhokio Stream at Te Apiti Rd,Site
HBRC,Ripia River U/S Mohaka,Site
HBRC,Ruakituri River at Sports Ground,Site
HBRC,Sandy Creek U/S Lake Tutira Outlet,Site
HBRC,Taharua Stream at Wairango Rd,Site
HBRC,Taharua Stream at Wrights Twin Culvert,Site
HBRC,Taipo Stream at Church Road,Site
HBRC,Taurekaitai Stream at Wallingford,Site
HBRC,Tukipo River at State Highway 50,Site
HBRC,Tukituki River at Ashcott Bridge S.H. 50,Site
HBRC,Tukituki River at Black Bridge,Site
HBRC,Tukituki River at Red Bridge,Site
HBRC,Tukituki River at Tamumu Br.,Site
HBRC,Tutaekuri River at Brookfields Bridge,Site
HBRC,Tutaekuri River at Lawrence Hut,Site
HBRC,Tutaekuri River U/S Mangaone,Site
HBRC,Tutaekuri Waimate Stm at Chesterhope,Site
HBRC,Waiarua at S.H.5,Site
HBRC,Waiau River at Otoi,Site
HBRC,Waikari River at Glenbrook Road,Site
HBRC,Waingongoro Stream at Waimarama Road,Site
HBRC,Waipawa River at State Highway 50,Site
HBRC,Wairoa River at Railway Br.,Site
HBRC,Waitio Stream at Ohiti Road,Site
HBRC,Ngaruroro River D/S Hawkes Bay Dairies,Site
HBRC,Clive River U/S Whakatu Rail Bridge,Site
HBRC,Taharua Stream at Henrys Bridge,Site
HBRC,Taharua Stream at Red Hut Mohaka Confl,Site
HBRC,Kahahakuri Stream U/S Tukituki Confl,Site
HBRC,Mohaka River D/S Waipunga River,Site
HBRC,Mohaka River D/S Ripia River,Site
HRC,Arawhata Drain at Hokio Beach Road,Site
HRC,Hautapu at US Rangitikei River Conf,Site
HRC,Hautapu at Alabasters,Site
HRC,Hokio at Lake Horowhenua,Site
HRC,Kahuterawa at Johnstons Rata,Site
HRC,Kumeti at Te Rehunga,Site
HRC,Makotuku at Raetihi,Site
HRC,Makakahi at Hamua,Site
HRC,Makotuku at SH49A,Site
HRC,Makuri at Tuscan Hills,Site
HRC,Manakau at S.H.1 Bridge,Site
HRC,Manawatu at Whirokino,Site
HRC,Manawatu at Opiki Br,Site
HRC,Manawatu at Ngawapurua Bridge,Site
HRC,Manawatu at Teachers College,Site
HRC,Manawatu at Hopelands,Site
HRC,Manawatu at Upper Gorge,Site
HRC,Manawatu at Weber Road,Site
HRC,Mangahao at Ballance,Site
HRC,Mangapapa at Troup Rd,Site
HRC,Mangatainoka at Putara,Site
HRC,Mangatainoka at Larsons Road,Site
HRC,Mangatainoka at Pahiatua Town Bridge,Site
HRC,Mangatainoka at Brewery - S.H.2 Bridge,Site
HRC,Mangatera at u/s Manawatu confluence,Site
HRC,Mangatoro at Mangahei Road,Site
HRC,Mangawhero at Raupiu Road,Site
HRC,Mangawhero at Pakihi Rd Bridge,Site
HRC,Mangawhero at DOC Headquarters,Site
HRC,Ohau at Gladstone Reserve,Site
HRC,Ohau at Haines Property,Site
HRC,Ohura at Tokorima,Site
HRC,Ongarue at Taringamotu,Site
HRC,Oroua at Awahuri Bridge,Site
HRC,Oroua at Almadale Slackline,Site
HRC,Oroua at Apiti,Site
HRC,Oruakeretaki at S.H.2 Napier,Site
HRC,Owahanga at Branscombe Bridge,Site
HRC,Patiki Stream at Kawiu Road,Site
HRC,Pohangina at Mais Reach,Site
HRC,Pohangina at Piripiri,Site
HRC,POREWA AT ONEPUHI ROAD,Site
HRC,Rangitikei at McKelvies,Site
HRC,Rangitikei at Onepuhi,Site
HRC,Rangitikei at Mangaweka,Site
HRC,Rangitikei at Pukeokahu,Site
HRC,Raparapawai at Jackson Rd,Site
HRC,Tamaki at Stephensons,Site
HRC,Tamaki at Tamaki Reserve,Site
HRC,Tiraumea at Ngaturi,Site
HRC,Tiraumea u/s Manawatu Confluence,Site
HRC,Tokiahuru at Junction,Site
HRC,Tokomaru River at Horseshoe bend,Site
HRC,Turakina at ONeills Bridge,Site
HRC,Waikawa at North Manakau Road,Site
HRC,Waikawa at Huritini,Site
HRC,Whangaehu at Kauangaroa,Site
HRC,Whanganui at Te Rewa,Site
HRC,Whanganui at Pipiriki,Site
HRC,Whanganui at Wades Landing,Site
HRC,Whanganui at Te Maire,Site
HRC,Whanganui at Cherry Grove,Site
HRC,Mangawhero at u/s Ohakune STP,Site
HRC,Mangaehuehu at u/s Rangataua STP,Site
HRC,Makotuku at Above Sewage Plant,Site
HRC,Pongaroa at u/s Pongaroa STP,Site
HRC,Rangitikei at u/s Bulls STP,Site
HRC,Rangitawa Stream at us Halcombe oxpond,Site
HRC,Whangaehu at u/s Winstone Pulp,Site
HRC,Waitangi at u/s Waiouru STP,Site
HRC,Piakatutu at u/s Sanson STP,Site
HRC,Mangaore at u/s Shannon STP,Site
HRC,Mangatera at Dannevirke,Site
HRC,Mangaatua at u/s Woodville STP,Site
